Num.,polymer name,m1,c1,m2,c2,Size_pred,PDI_pred,EE_pred,NDI-Size_pred,NDI-PDI_pred,NDI-EE_pred,Deff_pred,logTE_pred
14,,PPG,978,PEG,308,125.0,0.33129999999999993,33.6,1.0296186837750003,1.4611357582325548,0.8044216632843018,0.26154354214668274,5.546612519202287
15,,PPG,379,PEG,171,125.0,0.21119999999999994,84.2,1.1903164482649997,1.5122109141139142,0.7974821925163269,0.26154354214668274,5.579835375407173
16,,PPG,918,PEG,656,125.0,0.2367999999999999,84.2,1.06233244718,1.2648974515255151,0.8505036234855652,0.36596816778182983,5.659946930530837
17,,PPG,482,PEG,526,77.5,0.08629999999999999,84.2,1.099801121185,1.4197792021062634,0.9345209002494812,0.5416015386581421,5.947699287791352
18,,PPG,528,PEG,453,87.5,0.08319999999999997,84.2,1.1012292531999999,1.2895632947314102,0.9480200409889221,0.46266135573387146,6.0361600859117805
19,,PPG,962,PEG,839,87.5,0.08319999999999997,84.2,1.1012292531999999,1.295546210806307,0.9501041769981384,0.5436757206916809,6.032072092120781
20,,PPG,68,PEG,828,80.61538461538461,0.0839,85.7,1.0977231089600004,2.4328388604181077,0.855320155620575,0.3807220757007599,5.871270309392855
21,,PPG,742,PEG,142,125.0,0.3349999999999999,33.6,1.0186099117700005,1.4503998020050788,0.8157683610916138,0.24337857961654663,5.540950329150469
22,,PPG,43,PEG,492,80.61538461538461,0.062,88.5,1.0994361116050002,2.316438101346735,0.855320155620575,0.3807220757007599,5.908412939851141
23,,PPG,819,PEG,224,125.0,0.3343999999999999,33.6,1.0215547171750003,1.445356876304269,0.8044216632843018,0.26154354214668274,5.546612519202287
